OTU,BT1,BT10,BT11,BT12,BT2,BT3,BT4,BT5,BT6,BT7,BT8,BT9,BTQ1,BTQ10,BTQ11,BTQ12,BTQ2,BTQ3,BTQ4,BTQ5,BTQ6,BTQ7,BTQ8,BTQ9,PCRNeg,PSO1,PSO10,PSO11,PSO12,PSO2,PSO4,PSO5,PSO6,PSO7,PSO8,PSO9,PSP1,PSP10,PSP11,PSP12,PSP2,PSP3,PSP4,PSP5,PSP6,PSP7,PSP8,PSP9,ZYMO1,ZYMO10,ZYMO11,ZYMO12,ZYMO2,ZYMO3,ZYMO4,ZYMO5,ZYMO6,ZYMO7,ZYMO8,ZYMO9
cbbe5104243b0b97712e65bcd25e58e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,58,0,0,0,0,0,0,0
f34ebe71740e7bccd9d7131d6ac3db31,0,49,0,0,0,0,0,66,0,47,0,0,79,55,0,0,0,48,0,133,0,0,31,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,27,0,0,63,0,22,0,0,17,0,0,0,0,67,0,59,0,0,25,43
db7fe465c2b0c305007b58e07f102e1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,220
7a529093626c4e794d5d4261f4bd4995,83,60,0,0,83,0,0,131,0,0,0,0,152,60,0,0,101,351,223,63,0,0,0,2,0,0,408,0,0,0,0,246,12,215,0,545,330,0,0,0,122,0,0,196,103,17,0,0,171,310,0,0,216,21,25,265,93,84,32,23
91e6292425a1b7c0963089dc31c73b2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
fdd524a006e4ef2cce071ce5e713a63c,23,0,0,0,0,0,0,33,0,0,0,0,103,48,0,0,0,94,411,0,33,0,25,0,0,0,0,0,0,0,0,0,0,47,0,0,68,0,0,0,46,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,127
42c8f24d658112097e59353d88bdac6c,0,0,0,0,0,0,0,0,0,0,0,0,21,81,0,0,30,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,10,0,0,0,0,0,0,12,0,0,31,0,0,0,0
9686d899d2fe75295f006630e43d6a7d,0,231,0,0,0,0,0,0,0,0,0,0,0,0,11,0,144,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,197,0,261,0,75,24,0,0,0,0,167,0,0,0,0,51,80,0,0,166,0,0,165,0,0,0,37
1bd9431c44ef8eac03888df979250a5c,64,28,0,0,77,0,0,48,0,0,0,0,0,0,0,0,124,0,31,25,0,0,0,0,0,0,0,0,0,0,0,49,0,47,0,61,115,84,0,0,0,0,0,149,0,0,0,0,38,19,0,0,0,0,0,122,55,0,0,0
2679feec7d46baf42c2b545d1660689b,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,31,0,0,0,0
dbd3d119b33d4bd87289a4f9d7e383ff,0,0,0,0,158,0,0,57,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,43,0,0,91,0,0,0,0,0,0,0
c327db0b3ee558e86af5139cc711c885,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,30,0,224,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
2885a27bb691f3ebd63528bc70553fc7,142,141,0,0,0,0,66,117,0,73,68,0,101,134,0,0,0,66,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,144,0,0,0,0,0,0,88,0,0,0,0,0,104,0,0,119,0,0,96,0,0,0,24
ad57429b32437bbbd2b42b91c6469818,113,23,0,0,0,0,21,0,0,0,0,0,2260,93,0,0,35,0,0,0,44,0,47,0,0,0,52,0,0,0,0,43,0,23,0,0,0,37,0,0,0,0,0,24,0,0,0,0,0,29,0,0,0,44,0,25,0,0,9,0
768c77a4fb513f2604267440f692a296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
8c91c4c20c40aaabe2990ef12b434727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,76,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
e794a731a6676229a1e92833f6eabe59,0,0,0,0,35,0,66,66,0,170,0,0,99,0,0,0,115,21,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,69,0,93,73,0,0,0,0,0,0,142,0,0,0,0,0,67,0,0,129,0,0,173,0,0,0,0
9f44abc80b336f259d54fbd20d6e728b,13,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,15,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,30,0,0,22,20,30,0,0
b2bdc542a394b292b1507441a0449701,0,70,0,0,0,0,0,0,0,0,0,0,0,60,0,0,125,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,0
51661bc1f338f847e10a3f56d79fbec4,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,135,66,0,0,13,0,0,43,0,0,0,0,0,35,0,0,101,0,30,47,38,0,0,0
e836f2ae350005cd1e40da9acbeab4e5,0,0,0,0,0,0,0,0,0,0,0,0,90,203,0,0,0,0,140,0,0,0,0,0,0,0,69,0,0,0,0,0,0,29,0,0,0,33,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68f7ac8b5aa714fb7546942e1ee314a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,77,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,93,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
